subject_id,model_type,accuracy,f1_score,class_metrics,confusion_matrix,num_samples,ensemble_weight,model_selection,base_model_count,personal_model_count,base_model_pct,personal_model_pct
10,base,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",101,,,,,,
10,personal,0.9504950495049505,0.9504074528697717,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 24, ""accuracy_pct"": 91.66666666666666}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[39, 0, 0, 0], [1, 22, 1, 0], [0, 0, 10, 2], [0, 0, 1, 25]]",101,,,,,,
10,ensemble,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",101,0.5,,,,,
10,adaptive,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",101,,"{'Baseline': {'base_model_used': 38, 'personal_model_used': 1, 'base_model_pct': 97.43589743589743, 'personal_model_pct': 2.564102564102564}, 'Stress': {'base_model_used': 24, 'personal_model_used': 0, 'base_model_pct': 100.0, 'personal_model_pct': 0.0}, 'Amusement': {'base_model_used': 11, 'personal_model_used': 1, 'base_model_pct': 91.66666666666666, 'personal_model_pct': 8.333333333333332}, 'Meditation': {'base_model_used': 25, 'personal_model_used': 1, 'base_model_pct': 96.15384615384616, 'personal_model_pct': 3.8461538461538463}}",98.0,3.0,97.02970297029702,2.9702970297029703
11,base,0.9393939393939394,0.9385996231846033,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 0, 1, 0], [0, 19, 0, 3], [1, 1, 10, 0], [0, 0, 0, 26]]",99,,,,,,
11,personal,0.9191919191919192,0.9233522661514547,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[34, 0, 5, 0], [0, 22, 0, 0], [0, 0, 11, 1], [1, 0, 1, 24]]",99,,,,,,
11,ensemble,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 22, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",99,0.5,,,,,
11,adaptive,0.9797979797979798,0.9790558700416774,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 22, 0, 0], [1, 1, 10, 0], [0, 0, 0, 26]]",99,,"{'Baseline': {'base_model_used': 36, 'personal_model_used': 3, 'base_model_pct': 92.3076923076923, 'personal_model_pct': 7.6923076923076925}, 'Stress': {'base_model_used': 18, 'personal_model_used': 4, 'base_model_pct': 81.81818181818183, 'personal_model_pct': 18.181818181818183}, 'Amusement': {'base_model_used': 11, 'personal_model_used': 1, 'base_model_pct': 91.66666666666666, 'personal_model_pct': 8.333333333333332}, 'Meditation': {'base_model_used': 24, 'personal_model_used': 2, 'base_model_pct': 92.3076923076923, 'personal_model_pct': 7.6923076923076925}}",89.0,10.0,89.8989898989899,10.1010101010101
13,base,0.8686868686868687,0.8657434650162236,"{""Baseline"": {""correct"": 36, ""total"": 39, ""accuracy_pct"": 92.3076923076923}, ""Stress"": {""correct"": 15, ""total"": 22, ""accuracy_pct"": 68.18181818181817}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[36, 0, 0, 3], [6, 15, 1, 0], [1, 1, 10, 0], [1, 0, 0, 25]]",99,,,,,,
13,personal,0.797979797979798,0.7928697593335265,"{""Baseline"": {""correct"": 30, ""total"": 39, ""accuracy_pct"": 76.92307692307693}, ""Stress"": {""correct"": 12, ""total"": 22, ""accuracy_pct"": 54.54545454545454}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[30, 0, 2, 7], [3, 12, 4, 3], [1, 0, 11, 0], [0, 0, 0, 26]]",99,,,,,,
